start_date_local,type,name,distance,moving_time,total_elevation_gain,average_speed,max_speed,average_heartrate,max_heartrate
2021-09-18T17:24:46Z,Walk,Evening Walk,7903.0,6860,35.0,1.152,3.2,82.4,112.0
2021-09-15T18:51:16Z,Ride,Evening Ride,17442.9,2714,50.0,6.427,10.6,124.9,156.0
2021-09-14T18:06:58Z,Ride,Evening Ride,41936.0,7373,350.0,5.688,13.3,155.6,198.0
2021-09-13T19:47:08Z,Walk,Evening Walk,2878.9,2026,24.0,1.421,2.4,93.3,117.0
2021-09-12T19:31:22Z,Ride,Evening Ride,24978.8,4403,222.0,5.673,14.9,121.7,173.0
2021-09-09T20:26:37Z,Ride,Evening Ride,22729.9,3351,73.0,6.783,11.5,137.2,181.0
2021-09-07T18:19:19Z,Ride,Evening Ride,45397.4,8457,233.0,5.368,13.5,130.2,190.0
2021-09-04T12:41:06Z,Ride,Afternoon Ride,57753.7,9460,327.0,6.105,16.1,128.6,189.0
2021-09-01T20:31:02Z,Ride,Evening Ride,3459.9,705,17.0,4.908,9.5,104.5,123.0
2021-08-29T17:25:01Z,Ride,Evening Ride,55965.3,7984,245.0,7.01,16.4,141.9,180.0
2021-08-29T12:46:29Z,Walk,Afternoon Walk,5278.6,4821,69.0,1.095,2.4,78.2,109.0
2021-08-28T12:07:17Z,Ride,Afternoon Ride,10685.0,2266,39.0,4.715,9.4,106.2,156.0
2021-08-27T19:07:41Z,Ride,Evening Ride,36247.4,7228,295.0,5.015,12.8,131.7,189.0
2021-08-22T21:42:12Z,Ride,Night Ride,3177.8,793,53.0,4.007,11.3,122.0,171.0
2021-08-22T11:12:53Z,Ride,Afternoon Ride,84967.7,19239,804.0,4.416,15.3,115.4,173.0
2021-08-21T11:52:38Z,Ride,Afternoon Ride,108437.0,19062,750.0,5.689,15.3,132.4,186.0
2021-08-20T16:14:44Z,Ride,Evening Ride,5223.6,1034,19.1,5.052,18.1,,
2021-08-18T19:03:56Z,Ride,Evening Ride,32077.9,6751,352.0,4.752,12.6,147.7,194.0
2021-08-16T19:26:03Z,Ride,Evening Ride,31697.8,6034,181.0,5.253,14.3,119.8,190.0
2021-08-15T09:47:36Z,Surfing,Morning Surfing,29257.0,6437,18.2,4.545,14.9,160.8,197.0
2021-08-14T08:17:50Z,Ride,Morning Ride,136586.0,24040,472.0,5.682,16.6,133.3,190.0
2021-08-11T19:29:54Z,Ride,Evening Ride,25192.4,5293,221.0,4.76,11.7,137.0,192.0
2021-08-10T18:17:42Z,Ride,Evening Ride,36692.3,6765,192.0,5.424,17.5,123.2,195.0
2021-08-07T12:30:10Z,Kayaking,Afternoon Kayaking,18232.4,16051,3.0,1.136,3.4,83.2,133.0
2021-08-05T18:09:32Z,Ride,Evening Ride,80679.2,12396,363.0,6.508,15.4,155.5,190.0
2021-08-01T18:25:34Z,Ride,Evening Ride,43144.0,6310,133.0,6.837,13.0,145.3,189.0
2021-07-31T19:52:35Z,Ride,Evening Ride,12476.9,2255,54.0,5.533,8.9,100.9,130.0
2021-07-31T16:49:54Z,Walk,Evening Walk,1509.7,1689,9.0,0.894,2.4,83.7,124.0
2021-07-30T19:11:46Z,Ride,Evening Ride,5280.7,969,30.0,5.45,9.4,101.0,134.0
2021-07-29T18:40:39Z,Ride,Evening Ride,45058.7,7493,278.0,6.013,16.0,145.4,194.0
2021-07-27T20:39:46Z,Ride,Evening Ride,40226.6,6373,264.0,6.312,13.1,127.9,187.0
2021-07-26T21:02:42Z,Walk,Night Walk,5468.8,4181,17.0,1.308,2.2,80.6,111.0
2021-07-25T13:09:27Z,Workout,Afternoon Workout,537.6,651,34.0,0.826,4.5,92.9,114.0
2021-07-24T17:31:56Z,Walk,Evening Walk,3193.1,3407,77.0,0.937,3.9,86.4,123.0
2021-07-22T18:50:04Z,Ride,Evening Ride,43701.6,6989,293.0,6.253,13.5,145.9,189.0
2021-07-21T19:02:10Z,Ride,Evening Ride,1275.0,240,3.0,5.313,9.0,95.2,113.0
2021-07-16T20:53:32Z,Ride,Evening Ride,16832.0,2879,104.0,5.846,12.2,111.8,153.0
2021-07-11T20:42:16Z,Ride,Evening Ride,15976.8,3203,94.0,4.988,16.5,97.9,156.0
2021-07-09T14:05:54Z,Swim,Afternoon Swim,81.3,176,0.0,0.462,1.0,121.2,141.0
2021-07-07T21:22:22Z,Ride,Night Ride,41081.5,4857,181.0,8.458,16.0,175.6,198.0
2021-07-06T20:12:05Z,Ride,Evening Ride,22897.0,4243,108.0,5.396,13.5,107.4,170.0
2021-07-04T11:25:56Z,Ride,Afternoon Ride,82230.8,18897,780.0,4.352,11.7,103.9,171.0
2021-07-03T21:03:13Z,Walk,Night Walk,3802.4,3513,50.0,1.082,2.9,91.3,117.0
2021-06-30T22:21:59Z,Ride,Night Ride,4140.2,891,52.0,4.647,13.1,112.9,166.0
2021-06-29T18:44:49Z,Ride,Evening Ride,45498.9,10145,296.0,4.485,11.1,112.3,194.0
2021-06-27T13:44:41Z,Ride,Afternoon Ride,54385.2,9571,327.0,5.682,13.4,117.3,178.0
2021-06-26T20:55:41Z,Ride,Evening Ride,20754.7,4591,199.0,4.521,14.5,102.0,163.0
2021-06-26T12:05:29Z,Workout,Afternoon Workout,3405.3,1270,23.0,2.681,10.0,70.3,100.0
2021-06-24T13:05:55Z,Ride,Afternoon Ride,100306.0,15424,468.0,6.503,15.6,134.2,181.0
2021-06-23T18:26:49Z,Ride,Evening Ride,10889.1,2599,73.0,4.19,9.3,98.8,143.0
2021-06-22T21:33:36Z,Ride,Night Ride,30342.8,5108,171.0,5.94,15.4,123.6,193.0
